"Year","Month","Adult Book of Tickets Ridership","Adult Cash-Single Ticket Ride Ridership","Adult Day Pass Ridership","Adult Low Income Monthly Pass Ridership","Adult Monthly Pass Ridership","Adult Ridership","Airport BRT Ridership - Total Trips","Boarding Passengers","Bus Boarding Passengers","CTrain Boarding Passengers","Free Fare Zone Ridership","Low Income Monthly Pass Ridership","Ridership","Seniors Low Income Pass Ridership","Seniors Pass Ridership","Seniors Regular Pass Ridership","U-Pass Ridership","Youth Book of Tickets Ridership","Youth Cash-Single Ticket Ride Ridership","Youth Day Pass Ridership","Youth Low Income Monthly Pass Ridership","Youth Monthly Pass Ridership","Youth Ridership","Weekend Group Pass Ridership","Date"
"1991","Apr",,,,,,,,,,,,,,,,,,,,,,,,,"1991/04"
"1991","Mar",,,,,,,,,,,,,,,,,,,,,,,,,"1991/03"
"1991","Feb",,,,,,,,,,,,,,,,,,,,,,,,,"1991/02"
"1991","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1991/01"
"1990","Dec",,,,,,,,,,,,,,,,,,,,,,,,,"1990/12"
"1990","Nov",,,,,,,,,,,,,,,,,,,,,,,,,"1990/11"
"1990","Oct",,,,,,,,,,,,,,,,,,,,,,,,,"1990/10"
"1990","Sep",,,,,,,,,,,,,,,,,,,,,,,,,"1990/09"
"1990","Aug",,,,,,,,,,,,,,,,,,,,,,,,,"1990/08"
"1990","Jul",,,,,,,,,,,,,,,,,,,,,,,,,"1990/07"
"1990","Jun",,,,,,,,,,,,,,,,,,,,,,,,,"1990/06"
"1990","May",,,,,,,,,,,,,,,,,,,,,,,,,"1990/05"
"1990","Apr",,,,,,,,,,,,,,,,,,,,,,,,,"1990/04"
"1990","Mar",,,,,,,,,,,,,,,,,,,,,,,,,"1990/03"
"1990","Feb",,,,,,,,,,,,,,,,,,,,,,,,,"1990/02"
"1990","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1990/01"
"1989","Dec",,,,,,,,,,,,,,,,,,,,,,,,,"1989/12"
"1989","Nov",,,,,,,,,,,,,,,,,,,,,,,,,"1989/11"
"1989","Oct",,,,,,,,,,,,,,,,,,,,,,,,,"1989/10"
"1989","Sep",,,,,,,,,,,,,,,,,,,,,,,,,"1989/09"
"1989","Aug",,,,,,,,,,,,,,,,,,,,,,,,,"1989/08"
"1989","Jul",,,,,,,,,,,,,,,,,,,,,,,,,"1989/07"
"1989","Jun",,,,,,,,,,,,,,,,,,,,,,,,,"1989/06"
"1989","May",,,,,,,,,,,,,,,,,,,,,,,,,"1989/05"
"1989","Apr",,,,,,,,,,,,,,,,,,,,,,,,,"1989/04"
"1989","Mar",,,,,,,,,,,,,,,,,,,,,,,,,"1989/03"
"1989","Feb",,,,,,,,,,,,,,,,,,,,,,,,,"1989/02"
"1989","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1989/01"
"1988","Dec",,,,,,,,,,,,,,,,,,,,,,,,,"1988/12"
"1988","Nov",,,,,,,,,,,,,,,,,,,,,,,,,"1988/11"
"1988","Oct",,,,,,,,,,,,,,,,,,,,,,,,,"1988/10"
"1988","Sep",,,,,,,,,,,,,,,,,,,,,,,,,"1988/09"
"1988","Aug",,,,,,,,,,,,,,,,,,,,,,,,,"1988/08"
"1988","Jul",,,,,,,,,,,,,,,,,,,,,,,,,"1988/07"
"1988","Jun",,,,,,,,,,,,,,,,,,,,,,,,,"1988/06"
"1988","May",,,,,,,,,,,,,,,,,,,,,,,,,"1988/05"
"1988","Apr",,,,,,,,,,,,,,,,,,,,,,,,,"1988/04"
"1988","Mar",,,,,,,,,,,,,,,,,,,,,,,,,"1988/03"
"1988","Feb",,,,,,,,,,,,,,,,,,,,,,,,,"1988/02"
"1988","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1988/01"
"1987","Dec",,,,,,,,,,,,,,,,,,,,,,,,,"1987/12"
"1987","Nov",,,,,,,,,,,,,,,,,,,,,,,,,"1987/11"
"1987","Oct",,,,,,,,,,,,,,,,,,,,,,,,,"1987/10"
"1987","Sep",,,,,,,,,,,,,,,,,,,,,,,,,"1987/09"
"1987","Aug",,,,,,,,,,,,,,,,,,,,,,,,,"1987/08"
"1987","Jul",,,,,,,,,,,,,,,,,,,,,,,,,"1987/07"
"1987","Jun",,,,,,,,,,,,,,,,,,,,,,,,,"1987/06"
"1987","May",,,,,,,,,,,,,,,,,,,,,,,,,"1987/05"
"1987","Apr",,,,,,,,,,,,,,,,,,,,,,,,,"1987/04"
"1987","Mar",,,,,,,,,,,,,,,,,,,,,,,,,"1987/03"
"1987","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1987/01"
"1986","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1986/01"
"1985","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1985/01"
"1984","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1984/01"
"1983","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1983/01"
"1982","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1982/01"
"1981","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1981/01"
"1980","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1980/01"
"1979","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1979/01"
"1978","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1978/01"
"1977","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1977/01"
"1976","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1976/01"
"1975","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1975/01"
"1974","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1974/01"
"1973","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1973/01"
"1972","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1972/01"
"1971","Jan",,,,,,,,,,,,,,,,,,,,,,,,,"1971/01"
